id,Text,Label,language
53,"""Someone has to say this so I will.
 With the way most black people behave no wonder Ferguson is such a shitty place.
 Most black people in the US are so fucking lazy.
 I am saying this because of countless examples from my life:
 1. My grandmother got a black house nurse once and the bitch did nothing all day. When my grandmother complained to the agency they sent a different woman (wasn't black) that cleaned the entire house in 4 hours.
 2. My mom works at a hospital as a nurse and all her black co workers constantly do nothing and are lazy.
 Now once again. not all black people are like this (one of my best friends is black and I like him like a brother) but most of them are. The fucks expect to get everything they want only because their ancestors were once slaves. 
 Well, Hitler killed most of my ancestors, do you see me with sagging pants and crying like a stupid bitch about it like those stupid black people?
 
 The inequality of representation is probably because (again) black people are generally lazy or lack the skills required to hold such positions. 
 The household income ties into my previous point (lazy/lacking skill = lower income jobs).
 The dropout rate from school need to be taken against the black people at Ferguson, because, once again, how will you hold a high paying job if you didn't even graduate fucking high school?
 The 80% worse healthcare is once again tied into the low income. More money = better doctors.
 As for the inequality of enforcement, I have to give you that one that is completely unfair, however, when looking at black officers they frisk mostly black people as well, hmmmm..... interesting? maybe.""",toxic,ingles
54,"""HOLA CHAT bonito <3""",clean,español
55,"""pog momento final 🔥""",clean,español
56,"""This is the typical mindset of white people ( not all white people but most). He deserved it . So I say to you, people like Sean Hannity are feuling the fires of prejudice and racism. Don't let these people influence you. They want a race war so they can start marshall law.""",toxic,ingles
57,"""nerf urgente jajaja""",clean,español
58,"""This helped me understand things.""",clean,ingles
59,"""eres un tonto tonto tonto, ya cállate 🙄""",toxic,español
60,"""GG bien jugado 🔥""",clean,español
61,"""q mal escribes, duele""",toxic,español
62,"""All feminazis are toxic""",hate,ingles
63,"""musulmanes rezo""",hate,español
64,"""q onda viejo saludos o/""",clean,español
65,"""este vato cree q sabe y no sabe ni vrg 😂""",toxic,español
66,"""bro neta ya basta""",toxic,español
67,"""This is easy to get.""",clean,ingles
68,"""ese ace brutal 🔥""",clean,español
69,"""estas bn perdido, bien cabron""",toxic,español
70,"""Bassem Masri is an uneducated idiot. Just listen the words coming out of his mouth, he sounds like a stupid little kid. Sorry, but please grow the fuck up and learn the laws instead of repeating ""FREEDOM OF SPEECH"", ""I'M A CITIZEN"", ""GO AHEAD BRO, I'LL LISTEN TO YOU"".
 
 Somebody shut this guy up.""",toxic,ingles
71,"""buenas bro bn 😊""",clean,español
72,"""otra idiotez""",toxic,español
73,"""q mapa sigue?""",clean,español
74,"""Lowkey inspiring ngl.""",clean,ingles
75,"""wenas bro todo tranquilo :)""",clean,español
76,"""gracias x el stream bro 🙌""",clean,español
77,"""mujeres feminazis""",hate,español
78,"""All niggers should hang""",hate,ingles
79,"""qien mas like?""",clean,español
80,"""Kikes are leeching off us""",hate,ingles
81,"""otra tontería""",toxic,español
82,"""no sabes nada bro""",toxic,español
83,"""confianza bro tu puedes 💯""",clean,español
84,"""feministas aborto""",hate,español
85,"""derechistas corruptos""",hate,español
86,"""W enorme 🏆""",clean,español
87,"""One feral hoodlum put down, the rest of us no longer need to fear his thuggish behavior. Upset about that? Blame his parents- they failed to raise him right and provide proper supervision. Or, he was just defective from the start. Either way sounds like a case of quality control to me. Thank you Officer Wilson for doing your job.""",toxic,ingles
88,"""no mames ya""",toxic,español
89,"""comunistas partido""",hate,español
90,"""Nice and simple.""",clean,ingles
91,"""Whites should be extinct""",hate,ingles
92,"""se ve todo super limpio ✨""",clean,español
93,"""todo chill aqui ✨""",clean,español
94,"""derechistas explotadores""",hate,español
95,"""Nice breakdown of the topic.""",clean,ingles
96,"""q comentario tan sin chiste""",toxic,español
97,"""This guy is a moron.""",toxic,ingles
98,"""This cleared my doubts.""",clean,ingles
99,"""Clear and helpful explanation 👍""",clean,ingles
100,"""vamosss cerrando 🔥""",clean,español
101,"""wenas gente linda :)""",clean,español
102,"""Subhuman niggers get out""",hate,ingles
103,"""More of Your corrupt police will be harmed now. They are not safe from me. I will defend my self by fighting back and shooting them DEAD, so get your will's ready, cause its on! catalyst? the facts of the city/town/government/usa, are the CATALYST. This pot has been boiling over for too many years, and now you have the generation that will bring the equalizer to your door step, We also have a PURGE; you will feel its effect. """,toxic,ingles
104,"""qien fue el mvp chat?""",clean,español
105,"""aprende a escribir bien""",toxic,español
106,"""hola hola chat movido 😎""",clean,español
107,"""q comentario tan forzado""",toxic,español
108,"""todo fluyendo bn bonito ✨""",clean,español
109,"""calla ya maldito necio 😤""",toxic,español
110,"""This explanation works well.""",clean,ingles
111,"""SIII eso es 🙌""",clean,español
112,"""Police brutality affects everyone. It's not just a black issue, and when they made it a ""black"" issue that's when people who aren't black tend to stop listening. End racial profiling as if police don't fuck with everyone? Police don't care WHAT color you are, if you aren't a policeman they will fuck with you. If you look on youtube you will notice the brutality doesn't discriminate. 
 
 So stop it with this racial bullshit, because if you want cops to finally be held accountable for their powertripping actions, you need to realize that playing the whole ""because I'm black, and only black, and black"" card, makes people who aren't black feel less sympathetic because every race here has had issues with them.""",toxic,ingles
113,""". Leaving out information when giving a police report because they didn't ask you for that info, *is* lying by omission. That's why it's not outright lying......because you omitted the information. These are some stupid lawyers.""",toxic,ingles
114,"""This is pretty clear.""",clean,ingles
115,"""gays derechos""",hate,español
116,"""españoles nación""",hate,español
117,"""indepes locos""",hate,español
118,"""I like how simple this is.""",clean,ingles
119,"""I like the background music 🎵""",clean,ingles
120,"""vamosss ultimo round 🔥""",clean,español
121,"""Not complicated at all.""",clean,ingles
122,"""clutch de campeonato bro 🏆""",clean,español
123,"""Immigrants bring disease""",hate,ingles
124,"""mujeres objetos""",hate,español
125,"""esto ya es GG? :o""",clean,español
126,"""I like the clarity of this.""",clean,ingles
127,"""This feels honest.""",clean,ingles
128,"""tu comentario es basura 🗑️""",toxic,español
129,"""catalanes frios""",hate,español
130,"""otra vez diciendo lo mismo JAJA""",toxic,español
131,"""jajaja chat explotando 😂""",clean,español
132,"""This explanation is clear.""",clean,ingles
133,"""progres buenistas""",hate,español
134,"""jajajaja timing 🔥""",clean,español
135,"""Add another imbecile to the bunch, reporter is a incompetent bastard""",toxic,ingles
136,"""catalanes de mierda""",hate,español
137,"""no sabes nada de nada""",toxic,español
138,"""mejor borra esto 🤦""",toxic,español
139,"""inmigrantes fuera""",hate,español
140,"""W limpia sin errores 💯""",clean,español
141,"""Good explanation, no confusion.""",clean,ingles
142,"""you are clearly a racists shrill a canadian vegatable ,a plant that lives in a box of ivory snow and truly knows nothing about the Negro race. """,toxic,ingles
143,"""This guy is a dumbass. He claims that policed hired thugs took his phone and shot off rounds without any evidence to back his claims.""",toxic,ingles
144,"""Lets Steal from a convenience store then lets go and punch a cop in the face and get shot 6 times, then lets get all the black people and white apologists to run around the street setting buildings on fire, fucking dirty gutter rats all living on welfare and causing violence , just look where the rest of black people live... on the dirties Ebola plague ridden continent, lucky white countries can come over and cure their dumb asses.""",toxic,ingles
145,"""cuando es el siguiente match?""",clean,español
146,"""socialistas ladrones""",hate,español
147,"""ez limpio 😎""",clean,español
148,"""comentario inútil""",toxic,español
149,"""africanos sabana""",hate,español
150,"""I like this format.""",clean,ingles
151,"""nmms ni sentido tiene""",toxic,español
152,"""qué comentario tan inútil""",toxic,español
153,"""terroristas bombas""",hate,español
154,"""This was easy to follow.""",clean,ingles
155,"""Bullshit, the best places to live in America, are completely liberal, and the worst places to live in America, are overwhelmingly republican. And that is a fact jack.""",toxic,ingles
156,"""gg wp estuvo sabroso 👏""",clean,español
157,"""xD justo ahi""",clean,español
158,"""This is explained nicely.""",clean,ingles
159,"""
 Dont you reckon them 'black lives matter' banners being held by white cunts is kinda patronizing and ironically racist. could they have not come up with somethin better.. or is it just what white folks do to give them selves pride. 'ooo look at me im being nice for the black people' why does it always have to be about race actually the whole world is pussyfootin around for fear of being racist. its fuckin daft man.""",toxic,ingles
160,"""no mms, estás bien estúpido o qué??? 💀""",toxic,español
161,"""vamos por la W 🏆""",clean,español
162,"""cuándo empieza el evento???""",clean,español
163,"""There one was a thug named Brown,
 Who rushed at a cop with a frown.
 Six bullets later, he met his creator.
 And then his homies burn down the town.""",toxic,ingles
164,"""colombianos narcos""",hate,español
165,"""Good clarification.""",clean,ingles
166,"""estás bien menso""",toxic,español
167,"""alguien sabe parche?""",clean,español
168,"""Not bad at all, good job 👍""",clean,ingles
169,"""moros delincuentes""",hate,español
170,"""a qe hora te despides?""",clean,español
171,"""How was this guy hired?
 What an idiot""",toxic,ingles
172,"""This explanation makes things clear.""",clean,ingles
173,"""no sabes escribir ni pensar""",toxic,español
174,"""vascos etarras""",hate,español
175,"""Kill all protesters""",toxic,ingles
176,"""Refugees are trash""",hate,ingles
177,"""cállate pls""",toxic,español
178,"""esa play estuvo brutal 🔥""",clean,español
179,"""no sabes escribir""",toxic,español
180,"""Dirty immigrants pollute our nation""",hate,ingles
181,"""vascos terroristas""",hate,español
182,"""sanchistas mentirosos""",hate,español
183,"""moros cultura""",hate,español
184,"""All lesbians are freaks""",hate,ingles
185,"""venezolanos hambre""",hate,español
186,"""q ganas d escribir por escribir""",toxic,español
187,"""otra pendejada más y listo""",toxic,español
188,"""Easy explanation tbh.""",clean,ingles
189,"""españoles vagos""",hate,español
190,"""Protesters suck""",toxic,ingles
191,"""no sabes nada""",toxic,español
192,"""no sirves pa nada, neta""",toxic,español
193,"""buenas buenas chaval 😄""",clean,español
194,"""otra estupidez""",toxic,español
195,"""mejor guarda silencio""",toxic,español
196,"""Helpful and clear.""",clean,ingles
197,"""OK DIPSHITS: I don't care if he's 7 feet tall and 600 pounds. 
 1. Call for BACKUP 2. Use pepper spray 3. Use your baton 4. Use your taser 5. Wait for BACKUP 6. Use your GUN
 HOW DOES THE SAYING GO A MONKEY WITH BLINDFOLDS AND IT'S HANDS TIED BEHIND IT'S BACK?
 ANYWAYS: The preliminary autopsy showed that he was shot 4 times IN LESS LETHAL AREAS before he was EXECUTED WITH 2 GUNSHOT WOUNDS TO THE HEAD!!!!!!!!!""",toxic,ingles
198,"""ufff que nivel traes 🔥""",clean,español
199,"""Clear points, good job.""",clean,ingles
200,"""XD me duele la panza jajaja""",clean,español
201,"""All dykes need a real man""",hate,ingles
202,"""wenas chaval todo bien?""",clean,español
203,"""comunistas asesinos""",hate,español
204,"""Wetbacks are criminal invaders""",hate,ingles
205,"""das vergüenza ajena""",toxic,español
206,"""to bad those weapons were not discharged""",toxic,ingles
207,"""bro ya superalo""",toxic,español
208,"""colombianos sicarios""",hate,español
209,"""Clear and helpful explanation.""",clean,ingles
210,"""F pero se intento :(""",clean,español
211,"""I’m glad I found this.""",clean,ingles
212,"""The explanation was smooth.""",clean,ingles
213,"""voxeros nazis""",hate,español
214,"""Blue lives let’s matter send those BLM commies our of our streets""",toxic,ingles
215,"""Very chill content.""",clean,ingles
216,"""holaaaa saliendo del jale""",clean,español
217,"""dale dale confio 😄""",clean,español
218,"""homosexuales sidosos""",hate,español
219,"""estás bien mal""",toxic,español
220,"""vascos país""",hate,español
221,"""This explanation was clean.""",clean,ingles
222,"""Gays are perverted pedophiles""",hate,ingles
223,"""W facil ez 😄""",clean,español
224,"""buenas compas listos 😄""",clean,español
225,"""W enorme equipo 🏆""",clean,español
226,"""bro deja de decir mamadas""",toxic,español
227,"""qué vergüenza""",toxic,español
228,"""negros esclavos""",hate,español
229,"""negros delincuentes""",hate,español
230,"""Racial profiling and police intimidation? He robbed a store and got killed as a result. Fucking excuses man. Black people shouldn't have to get arrested when they commit a strong arm robbery. When black people get violent they shouldn't have to fear getting put down like an animal. He actually said we shouldn't have to worry about warrants. lol. Fucking piece of human garbage.""",toxic,ingles
231,"""I like your style 😎""",clean,ingles
232,"""buenas bro todo tranqui 😊""",clean,español
233,"""holaaaa chat!! 😊""",clean,español
234,"""homosexuales sidosos""",hate,español
235,"""holaaaa saludos a todos <3""",clean,español
236,"""This cleared my confusion.""",clean,ingles
237,"""confianza total chat 😎""",clean,español
238,"""mejor cállate""",toxic,español
239,"""Easy to understand, nice.""",clean,ingles
240,"""nmms estas mal mal mal""",toxic,español
241,"""Without that badge they a bitch and a half. So fuck the police!!""",toxic,ingles
242,"""se ve genial todo la neta ✨""",clean,español
243,"""This was explained well.""",clean,ingles
244,"""Sick of these ragheads praying in our streets""",hate,ingles
245,"""comentario estúpido""",toxic,español
246,"""Fuck CNN you corrupt demon worshiping fools""",toxic,ingles
247,"""hey chat pa spam xD""",clean,español
248,"""q comentario tan tonto""",toxic,español
249,"""todo fluye bn bonito ✨""",clean,español
250,"""judíos insolentes""",hate,español
251,"""Sick gays are unnatural""",hate,ingles
252,"""hola wey como estas hoy :)""",clean,español
253,"""ese clutch salio perfecto 💯""",clean,español
254,"""nazis alemanes""",hate,español
255,"""bro piensale tantito antes d comentar""",toxic,español
256,"""borregos tele""",hate,español
257,"""The world is changing im mad at the police too but id be dam if isis gonna come in here thats when its time to kill these faucks""",toxic,ingles
258,"""todo mal contigo""",toxic,español
259,"""stop being criminals and you wont get shot, that simple""",toxic,ingles
260,"""If blacks want respect, then speak, act, and dress like the Huxtable family. You want to be treated with prejudice then speak, act and dress like known gangsters, steal things, act like you own the street!""",toxic,ingles
261,"""no aportas nada""",toxic,español
262,"""Feminazis are cancer to society""",hate,ingles
263,"""indepes estelada""",hate,español
264,"""otra tonteria mas y hacemos bingo""",toxic,español
265,"""The legal system is inherently racist, same as this CNN reporter""",toxic,ingles
266,"""qué ridículo eres""",toxic,español
267,"""derechistas bandera""",hate,español
268,"""comentario sin valor""",toxic,español
269,"""Wow, an a-hole that makes a CNN interviewer seem reasonable and balanced....""",toxic,ingles
270,"""I get the idea now.""",clean,ingles
271,"""buenas noches viejo ✨""",clean,español
272,"""otra pendejada""",toxic,español
273,"""lol, ""shoot to apprehend"". He is an idiot.""",toxic,ingles
274,"""Well said 👏""",clean,ingles
275,"""chat activo se siente cool 😎""",clean,español
276,"""Cops NEED to be given a very wide latitude in self defense considering the threats they face and they if incapacitated, they have a very high chance of being executed with their own dam gun.Noone seems o care about this shit...""",toxic,ingles
277,"""Too bad that these were riot shotguns and not loaded with live rounds.""",toxic,ingles
278,"""bassem I think walmart is hiring for the holidays. get a job loser!!!""",toxic,ingles
279,"""I liked this explanation.""",clean,ingles
280,"""pinche ignorante""",toxic,español
281,"""me quedo hasta el final 😄""",clean,español
282,"""nooo casi pero bn 🤗""",clean,español
283,"""jajaja se salio de control""",clean,español
284,"""chat activo se siente 👏""",clean,español
285,"""qien mas llego tarde jajaja""",clean,español
286,"""cuando vuelve el stream?""",clean,español
287,"""Violent muslims kill everyone""",hate,ingles
288,"""@Stefan Molyneux You sir, are the dumbest smart guy ever. You are a researcher? Research the enitre history of the Blackman in America and you will understand why things are the way they are. You are so detachted from reality it is comical.""",toxic,ingles
289,"""Helpful explanation overall.""",clean,ingles
290,"""progres lenguaje inclusivo""",hate,español
291,"""pinche inútil, siempre la cagas SIEMPRE.""",toxic,español
292,"""I get what you mean.""",clean,ingles
293,"""Those chinks eat dogs""",hate,ingles
294,"""clutch perfecto 💯""",clean,español
295,"""SIII eso es todo 🙌""",clean,español
296,"""@23:00 hear what the guy is saying.. That a policemen stated that in his 31 years of service 8 officers have died by their own weapon and one was shoot execution style or whatever. So why the fuck does Officer Wilson let this 300 pound guy run 150ft--he's too big to run that fast I can assume? Shouldn't it take about 30-40 ft to tell Brown to freeze or he'll shoot? Bs all the way if you tell me.""",toxic,ingles
297,"""jajajaja este compa vive en otro mundo 🌎💀""",toxic,español
298,"""tu comentario apesta""",toxic,español
299,"""Death to all kikes""",hate,ingles
300,"""Straightforward and clear.""",clean,ingles
301,"""africanos pateras""",hate,español
302,"""me da coraje leerte""",toxic,español
303,"""q mamada acabo de leer 😂""",toxic,español
304,"""W enorme para el equipo 🏆""",clean,español
305,"""Let's reverse the rolls! Black racist cops in rich white communities.(but you can't prove there racist) When a white man gets pissed off at this intolerable condition. We unload several clips of high caliber ammo at point blank range for his audacity at questioning authority. All Americans need to be on full alert of this elitist agenda to set presidents of questioning authority. The elitist upper-class is the problem. Prison culture CIA drug Cartels. Exporting jobs and importing cheap labor, While the elitist get bailed out and support this corrupt system. We can turn this around when we c get past the race issue the Govt. incites to divide the working class, but you can hardly call it a working class because the Govt put everyone out of work. We are more of a homeless class. Let us not for get Western history and the role big money plays in this clusterfuck designed to destroy a Nation that is Destroyed at this point. We can get it back, ask me how.""",toxic,ingles
306,"""I would'nt waist my time trying to reason with this Police spitting Thug. Trying to defend Criminal Brown is a losing matter. The Grand Jury has made they're decision. Live with it.""",toxic,ingles
307,"""q mapa sigue chat?""",clean,español
308,"""me dio mucha risa eso XD""",clean,español
309,"""Not confusing at all.""",clean,ingles
310,"""wey aprende a leer""",toxic,español
311,"""hey chat activo xD""",clean,español
312,"""puras estupideces""",toxic,español
313,"""Thanks for explaining it simply.""",clean,ingles
314,"""podemitas chavistas""",hate,español
315,"""LOL eso fue inesperado :v""",clean,español
316,"""Wow.. Think I'm going to buy a bullet proof vest..shit! if your black it's like everybody is tryin' to shoot you.!""",toxic,ingles
317,"""nadie pidió tu opinión""",toxic,español
318,"""What an ignorant coward, full of emotion, estrogen and apathy. And where the hell did you come from? Fuckin racially ambiguous blackwashed loudmouth. They really chose a pathetic man to interview. """,toxic,ingles
319,"""I can't stand these dirty kikes""",hate,ingles
320,"""esto es dificil o normal?""",clean,español
321,"""gracias x stream 🙌""",clean,español
322,"""rusos comunistas""",hate,español
323,"""We need to get rid of faggots""",hate,ingles
324,"""hablas sin saber""",toxic,español
325,"""Trannies are mentally ill freaks""",hate,ingles
326,"""I appreciate the effort you put in.""",clean,ingles
327,"""Blacks belong in cages""",hate,ingles
328,"""buenas compas listos 😄""",clean,español
329,"""te encanta hacer el oso""",toxic,español
330,"""Chinks are sneaky thieves""",hate,ingles
331,"""chat buena onda 😃""",clean,español
332,"""otra vez comentando puras babosadas jajaja""",toxic,español
333,"""JAJAJA timing perfecto""",clean,español
334,"""q estupidez acabo de leer""",toxic,español
335,"""Lesbians are just confused men haters""",hate,ingles
336,"""Good explanation overall.""",clean,ingles
337,"""Blacks are thugs""",hate,ingles
338,"""estás mal""",toxic,español
339,"""wenas wenas gente bella :)""",clean,español
340,"""ni sabes de qué hablas""",toxic,español
341,"""cuando vuelve el stream?""",clean,español
342,"""qué comentario tan malo""",toxic,español
343,"""comentario basura""",toxic,español
344,"""Calm and informative 👍""",clean,ingles
345,"""q comentario tan mal hecho, neta""",toxic,español
346,"""News fucktards...........puppet players,,,,,all they are paid liars """,toxic,ingles
347,""" Did the IDIOT reporter do the survey on the percent of blacks that are involved in the following:- Gang Activities
 ShopLifting
 Car Jacking
 Robberies
 Robberies with assault
 Teenage Pregnancies""",toxic,ingles
348,"""This was clear enough.""",clean,ingles
349,"""comentario basura""",toxic,español
350,"""ese clutch fue INSANO 💪""",clean,español
351,"""vamosss por la W!!! 🏆""",clean,español
352,"""muy pro ese movimiento 😎""",clean,español
353,"""comentario estúpido""",toxic,español
354,"""rumanos mafias""",hate,español
355,"""estás bn mal""",toxic,español
356,"""Straight to the point 👍""",clean,ingles
357,"""izquierdistas radicales""",hate,español
358,"""cuando vuelve el stream?""",clean,español
359,"""F pero se intento :(""",clean,español
360,"""gg wp fue divertido 👏""",clean,español
361,"""fascistas dictadores""",hate,español
362,"""F pero la pase genial 😊""",clean,español
363,"""This cleared things up for me.""",clean,ingles
364,"""q pena leer esto 😬""",toxic,español
365,"""alguien sabe qien juega ahora?""",clean,español
366,"""Ragheads are bomb makers""",hate,ingles
367,"""VAMOS CHAT APOYANDO 🎉""",clean,español
368,"""I like how you explained it.""",clean,ingles
369,"""comentario basura""",toxic,español
370,"""africanos invasores""",hate,español
371,"""I learned something new today.""",clean,ingles
372,"""puras mamadas""",toxic,español
373,"""F pero buena run :)""",clean,español
374,"""q pena ajena bro""",toxic,español
375,"""alguien sabe si hay drops?""",clean,español
376,"""nmms todo mal otra vez""",toxic,español
377,"""vamos por ese clutch bro!""",clean,español
378,"""a qe hora vuelves?""",clean,español
379,"""jajajaja buen cierre""",clean,español
380,"""negros asquerosos""",hate,español
381,"""This feels very relatable tbh.""",clean,ingles
382,"""a qe hora empieza la ranked?""",clean,español
383,"""Butch lesbians are repulsive""",hate,ingles
384,"""A completely idiot having his minutrs of fame""",toxic,ingles
385,"""esta bn chido el stream 👍""",clean,español
386,"""I appreciate the details.""",clean,ingles
387,"""I like how calm this is.""",clean,ingles
388,"""Ayy CNN are lookin like pussies """,toxic,ingles
389,"""no sabes opinar""",toxic,español
390,"""estás bien menso bro""",toxic,español
391,"""Massri needs an education.""",toxic,ingles
392,"""Great video. Although I wish he would've focused more on all the shit police are doing, because that's the only thing keeping the rioters and their supporters from being complete idiots.""",toxic,ingles
393,"""sigue asi rey 💯""",clean,español
394,"""nazis Hitler""",hate,español
395,"""wey yaaaa, hartas""",toxic,español
396,"""jajajaja eso dolio 😂""",clean,español
397,"""moros terroristas""",hate,español
398,"""All dykes are mistakes""",hate,ingles
399,"""indepes traidores""",hate,español
400,"""vamos por la W bro 🏆""",clean,español
401,"""JAJAJA y luego se ofenden""",toxic,español
402,"""Arabs Hate black people. This ISIS sympathizer just wants to call it his community. Nonsense.""",toxic,ingles
403,"""qué vergüenza ajena""",toxic,español
404,"""a qe hora termina?""",clean,español
405,"""A lot of people and the entire media is missing this huge crucial point: WHY was Micheal Brown even stopped in the first place??? The day it happened, the officer said that it was because Mike Brown was walking in the street. Then a few days later, it was because he had robbed a convenience store. Despite the fact that owner himself says that his store was never robbed. The officer was apparently in fear for his life. The PD claims he was ""seriously injured"" in the altercation with Mike Brown. Even though there is a video showing the officer, perfectly fine, standing by Mike's body an hour after the shooting. Also, Mike's body was 35 feet away from where the officer was when Mike apparently ""charged"" at him. Man, the police are full of shit. If you can't see that this shit was made up, then you're either a bigot or just a fucking idiot. """,toxic,ingles
406,"""derechistas rancios""",hate,español
407,"""qien mas llego tarde jajaja""",clean,español
408,"""animo crack aun hay 🙌""",clean,español
409,"""muy bn explicado todo gracias 🙌""",clean,español
410,"""Well explained 👌""",clean,ingles
411,"""sanchistas falcon""",hate,español
412,"""colombianos violencia""",hate,español
413,"""What a fucking douche bag""",toxic,ingles
414,"""Easy explanation fr.""",clean,ingles
415,"""comentario sin sentido""",toxic,español
416,"""nerf cuando jajaja XD""",clean,español
417,"""Cnn...so out of touch..close up idiots.. people are watching for the comedy of reporting.lol""",toxic,ingles
418,"""This makes sense to me now.""",clean,ingles
419,"""Lol. This is what happens when the greedy rich slime keep the masses uneducated & ignorant. Now deal with the stupid that you created. Trying to reason with the irrational is an exercise in futility. Get the popcorn ready bc it's about to boil over. If you fall for the talk you will fall just walking. """,toxic,ingles
420,"""cuando proximo match?""",clean,español
421,"""holaaa desde casa 😊""",clean,español
422,"""qué ridículo""",toxic,español
423,"""nazis genocidas""",hate,español
424,"""Masri is a total idiot ""I don't have to know the evidence, I can just come to my own conclusions instead""
 Here is a clue, dont attack a cop and try to take his gun and then rush him after he finally gets out of his car and you wont get shot duhhh.
 So what would Masri do, take Brown out for a icecream as he is beating him into the ground and not defend himself?
 BTW, Browns momma and gramma violently assaulted some people who were selling T-shirts in memory of Brown and put two people in the hospital, stole their money and trashed their shop and will probably be charged for it, so we all know what sort of mentality Brown was raised in and he was a thug wanna be, who caused his own death.""",toxic,ingles
425,"""This is well explained.""",clean,ingles
426,"""Ah, beautiful.""",toxic,ingles
427,"""it''s freaking 2014 and some people are still racist, police are still awful """,toxic,ingles
428,"""nmms q perdida d tiempo""",toxic,español
429,"""This made things clearer 😊""",clean,ingles
430,"""ese buff ayudo 😄""",clean,español
431,"""All gays are sinners""",hate,ingles
432,"""musulmanes terroristas""",hate,español
433,"""Wetbacks need to go back to Mexico""",hate,ingles
434,"""pinche ridículo""",toxic,español
435,"""jajajaja buen cierre""",clean,español
436,"""GG chat gracias ❤️""",clean,español
437,"""otra estupidez""",toxic,español
438,"""todo lo dices al aventon 🤦""",toxic,español
439,"""otra tontería""",toxic,español
440,"""comentario inútil""",toxic,español
441,"""Retards should be euthanized""",hate,ingles
442,"""chinos copias""",hate,español
443,"""Sure...they totally looked at FACTUAL evidence during that trial...
 
 More like special treatment. BUT HEY, we all knew that was going to happen, didn't we?""",toxic,ingles
444,"""Death to all niggers""",hate,ingles
445,"""pobres sucios""",hate,español
446,"""Makes things easier to get.""",clean,ingles
447,"""This is actually helpful.""",clean,ingles
448,"""primera vez aqui :) saludo!""",clean,español
449,"""ese win ya casi cae 🤩""",clean,español
450,"""qué vergüenza""",toxic,español
451,"""This content is nice.""",clean,ingles
452,"""no sabes ni q estas diciendo JAJA""",toxic,español
453,"""okupas delincuentes""",hate,español
454,"""Good pacing overall.""",clean,ingles
455,"""eres bien necio""",toxic,español
456,"""USA land of the free baby. HAHAHAHA! All you people not living in USA, should be thankful everyday. This is the worse country on earth.""",toxic,ingles
457,"""pog ese play 🤩""",clean,español
458,"""neta esta buenisimo 😎""",clean,español
459,"""Lesbians are disgusting""",hate,ingles
460,"""I appreciate the clarity.""",clean,ingles
461,"""Dirty jews are destroying the world""",hate,ingles
462,"""das pena ajena, PENITA 😬""",toxic,español
463,"""catalanes butifarras""",hate,español
464,"""lol chat spameando F""",clean,español
465,"""q idiota""",toxic,español
466,"""esto hard o normal?""",clean,español
467,"""no aflojes rey 😎""",clean,español
468,"""This explains it nicely.""",clean,ingles
469,"""YEah You are right 1 white shot a black all hell break lose , black shot black no protest maybe if they start doing protest on black shotting black , you can buy in thier story ,""",toxic,ingles
