Id,Texto,Label,Lenguaje
64,"""q onda wey todo bn?? 😎""",clean,español
65,"""chat buena onda 😃""",clean,español
66,"""All jigaboos are enemies of the state""",hate,ingles
67,"""Me cagan los cholos gatos""",hate,español
68,"""musulmanes fanaticos""",hate,español
69,"""Pinches venecos no deberían existir en corto""",hate,español
70,"""YESSS we take the W!!!""",clean,ingles
71,"""pobres calle""",hate,español
72,"""Espero que te quedes callado, asqueroso idiota.""",toxic,español
73,"""Qué broma más basura. Solo eres un chiste.""",toxic,español
74,"""Clear info, thanks.""",clean,ingles
75,"""esto me alegro la noche""",clean,español
76,"""JAJAJAJA nooo xD""",clean,español
77,"""nmms ni escribir sabes""",toxic,español
78,"""No eres más que una triste excusa de persona.""",toxic,español
79,"""estas bn perdido, bien cabron""",toxic,español
80,"""Go away, you troll. You're making everyone dumb. 🤡""",toxic,ingles
81,"""Nice and simple.""",clean,ingles
82,"""This is useful info.""",clean,ingles
83,"""ez ez todo limpio 😎""",clean,español
84,"""Very chill content.""",clean,ingles
85,"""callate yaaaa, neta q das asco 😡""",toxic,español
86,"""HOLA chat activo""",clean,español
87,"""Cállate, idiota presumido.""",toxic,español
88,"""Me cagan los feminazis asquerosos""",hate,español
89,"""Go jump off a bridge, loser.""",toxic,ingles
90,"""Proof Blacks aren't victims:
1. Statistically Cops kill more whites than blacks, yet whites see them as necessary because they save more lives than they cost, while places like Ferguson lose their minds.
2. Statistically 93% of murdered blacks are killed by other blacks, with whites consisting of 3% of the murderers and 4% being the other races.
3. Whites were enslaved by blacks first, and for over 150 years. This was when Europeans(the same race that started America and later enslaved Africans) began searching North Africa to establish trade of goods between natives. From the 1520s to the late 1600s whites were enslaved first. Later the tables turned. This boys and girls is called 'Karma.'
4. Statistically over 50% of murders in the US alone are from Blacks, despite them making up only 14.1% of the entire US population, while despite whites make up 63% of the US population they only make up 46% of the murders.
5. Whites make up 38% of welfare recipients with blacks making up 39%. This doesn't seem extreme until you realize that 39%(blacks) consists of that 14.1%, whith that 38%(whites) making up 63% of the US. Meaning each individual black person is about 5 times as likely than whites to use welfare.""",toxic,ingles
91,"""VAMOSSS equipo hermoso ❤️""",clean,español
92,"""Build the wall""",hate,ingles
93,"""What a clueless joke. You're just a clown.""",toxic,ingles
94,"""Pinches cholos quítenles el internet hijos de la chingada""",hate,español
95,"""Pinches maricas no valen madre están de la verga""",hate,español
96,"""ty for the tips dude""",clean,ingles
97,"""Eres una carga para todos los que te conocen.""",toxic,español
98,"""q ganas d llamar la atencion""",toxic,español
99,"""JAJAJA chat no falla XD""",clean,español
100,"""All immigrants are criminals""",hate,ingles
101,"""aprende a escribir bien""",toxic,español
102,"""buenas noches viejo""",clean,español
103,"""QUÉ PRO juegas wey 💯""",clean,español
104,"""Lazy spics stop mooching""",hate,ingles
105,"""Prieto color llanta🛞🐵""",hate,español
106,"""no te rindas rey 😎""",clean,español
107,"""This was well explained.""",clean,ingles
108,"""W merecida""",clean,español
109,"""esto cuenta W? :o""",clean,español
110,"""nazis alemanes""",hate,español
111,"""Great video. Although I wish he would've focused more on all the shit police are doing, because that's the only thing keeping the rioters and their supporters from being complete idiots.""",toxic,ingles
112,"""LMAO that timing was perfect XD""",clean,ingles
113,"""I find it amusing how all of these protesters claim they're fighting against racism but yet they are blind to their own racism. There have been several reports of black people attacking white people. Just a couple of days ago, it was reported that a white man was beaten to death with a hammer by black teens in St. Louis. Yeah clearly no racial intent there. Fucking hypocrites. """,toxic,ingles
114,"""no sabes escribir ni pensar""",toxic,español
115,"""ur passion shows bro""",clean,ingles
116,"""no sabes opinar""",toxic,español
117,"""a qe hora el siguiente match?""",clean,español
118,"""VAMOS CHAT dando animooos""",clean,español
119,"""inmigrantes parásitos""",hate,español
120,"""This cleared things up for me.""",clean,ingles
121,"""Buy ak47 shoot all USA copa""",toxic,ingles
122,"""progres hipócritas""",hate,español
123,"""JAJAJA chat no se equivoca XD""",clean,español
124,"""Parasitic beaners belong in the oven""",hate,ingles
125,"""Pinches viejas quítenles el internet pinche madre""",hate,español
126,"""otra idiotez tuya""",toxic,español
127,"""This explanation was good.""",clean,ingles
128,"""pog ese juego 🤩""",clean,español
129,"""vamos por la W bro 🏆""",clean,español
130,"""qien mas espera boss?""",clean,español
131,"""You're a complete waste of space and oxygen.""",toxic,ingles
132,"""derechistas casposos""",hate,español
133,"""I like your style 😎""",clean,ingles
134,"""This hits different 😌""",clean,ingles
135,"""esto es una Win? :P""",clean,español
136,"""late but im here now""",clean,ingles
137,"""JAJAJAJA tremendo fail""",clean,español
138,"""Worthless coons should hang from trees""",hate,ingles
139,"""Asquerosos negros regresen a su cerro""",hate,español
140,"""bro eso no va aqui""",toxic,español
141,"""Cállate, tonto sin idea.""",toxic,español
142,"""Corrientes chilangos no deberían existir""",hate,español
143,"""bro puro hablar por hablar""",toxic,español
144,"""Suicídate, a nadie le importarías.""",toxic,español
145,"""puras pendejas pendejadas salen de tu boca""",toxic,español
146,"""clean mechanics man""",clean,ingles
147,"""qué comentario tan insensible""",toxic,español
148,"""You're a total moron. Get a life. 👎""",toxic,ingles
149,"""pinche comentario todo mal escrito, aprende a escribir cabrón""",toxic,español
150,"""qien anda desde inicio?""",clean,español
151,"""Clean presentation.""",clean,ingles
152,"""Yep a Muslim bitch""",toxic,ingles
153,"""Todos los judíos son unos putos la neta""",hate,español
154,"""mejor cállate ya""",toxic,español
155,"""hello chat!! """,clean,ingles
156,"""I like how you broke it down.""",clean,ingles
157,"""jajaja se fue por accidente""",clean,español
158,"""Piérdete, sabandija inmunda.""",toxic,español
159,"""Lesbians are disgusting""",hate,ingles
160,"""Qué broma más ignorante. Solo eres un morón.""",toxic,español
161,"""latinos machetes""",hate,español
162,"""This is pretty helpful.""",clean,ingles
163,"""pog cierre""",clean,español
164,"""VAMOS TU PUEDES 💪""",clean,español
165,"""Filthy kikes are controlling the banks""",hate,ingles
166,"""Pinches feminazis me cagan la madre puñetas""",hate,español
167,"""DALE MAESTRO confiamos""",clean,español
168,"""Eres un desperdicio de ADN.""",toxic,español
169,"""q comentario tan x""",toxic,español
170,"""HOLA HOLA VAMOSSS 🔥""",clean,español
171,"""I'm with this dude fuck the punk police """,toxic,ingles
172,"""Lárgate de aquí, fracasado miserable.""",toxic,español
173,"""Me cagan los tortilleras nacos""",hate,español
174,"""lol me distrajo eso""",clean,español
175,"""Qué broma más estúpido. Solo eres un asqueroso. 🤬""",toxic,español
176,"""Todos los sidosos son unos pinches a la verga""",hate,español
177,"""otro idiota en los comentarios""",toxic,español
178,"""I enjoyed this a lot.""",clean,ingles
179,"""q pro juegas bro neta 💯""",clean,español
180,"""latinos salvajes""",hate,español
181,"""solid decision making""",clean,ingles
182,"""Esta es la cosa más asqueroso que he visto. Deberías borres tu cuenta.""",toxic,español
183,"""Not complicated at all.""",clean,ingles
184,"""News fucktards...........puppet players,,,,,all they are paid liars """,toxic,ingles
185,"""gg wp divertido""",clean,español
186,"""JAJAJA me dio mucha risa 😂""",clean,español
187,"""jajajaja nooo wee XD""",clean,español
188,"""q comentario tan feo""",toxic,español
189,"""Lesbians are distinct""",hate,ingles
190,"""Mierderos tortilleras chinguen a su madre""",hate,español
191,"""holis amigos 😄""",clean,español
192,"""homosexuales pervertidos""",hate,español
193,"""I like the clarity of this.""",clean,ingles
194,"""worth staying up ngl 😴""",clean,ingles
195,"""Todos los gringos son unos mugrosos pinche madre""",hate,español
196,"""Eres un completo estúpido. ¿Por qué sigues respirando? 💩""",toxic,español
197,"""man this stream is fire""",clean,ingles
198,"""Cállate y vayas a llorar. No tienes idea de lo que hablas. 👎""",toxic,español
199,"""JAJAJAJA noo puede seeeeer xD""",clean,español
200,"""q buena explicacion""",clean,español
201,"""Me cagan los prietos muertos de hambre""",hate,español
202,"""I like how this was explained.""",clean,ingles
203,"""lol eso fue oro puro """,clean,español
204,"""Esta es la cosa más inútil que he visto. Deberías dejes de hablar. 🤫""",toxic,español
205,"""This helped me a lot thanks.""",clean,ingles
206,"""Pinches fifis nadie los quiere wey""",hate,español
207,"""no sabes nada bro""",toxic,español
208,"""das tristeza bro""",toxic,español
209,"""cuándo empieza el evento???""",clean,español
210,"""das vergüenza""",toxic,español
211,"""no tienes cerebro""",toxic,español
212,"""Hediondos gringos son unos arrastrados""",hate,español
213,"""vascos bestias""",hate,español
214,"""hablas cosas sin sentido""",toxic,español
215,"""hey chat listos pa spam xD""",clean,español
216,"""ese clutch fue perfecto""",clean,español
217,"""bien ahí bro""",clean,español
218,"""thanks for streaming man 🙌""",clean,ingles
219,"""I can see your effort here.""",clean,ingles
220,"""no tienes idea bro""",toxic,español
221,"""comunistas dictadura""",hate,español
222,"""moros de mierda""",hate,español
223,"""esto es hard o normal?""",clean,español
224,"""since we now know that he never held his hands up.  Anyone who raises his hand up to show he is against the police of Ferguson is a racist scumbag.  Watch tv and count them.  There are a lot of racist scumbags out there.""",toxic,ingles
225,"""I hate diseased sluts deadass""",hate,ingles
226,"""that buff helped fr""",clean,ingles
227,"""HEY llegué justo a tiempo o/?""",clean,español
228,"""comentario que nadie te pidio""",toxic,español
229,"""Todos los tortilleras son unos gatos a la verga😾""",hate,español
230,"""esta super bueno el directo 😍""",clean,español
231,"""Jodidos hondureños que se mueran alv""",hate,español
232,"""I like how you explained it.""",clean,ingles
233,"""Eres tan inútil que ni para malo sirves.""",toxic,español
234,"""primer stream del dia sii""",clean,español
235,"""JAJAJA chat no perdona XD""",clean,español
236,"""Filthy refugees go back""",hate,ingles
237,"""qien mas esta viendolo? :o""",clean,español
238,"""Pinches jotos son basura""",hate,español
239,"""Deja de publicar tus opiniones idiota. A nadie le importa.""",toxic,español
240,"""sigue asi sensei 👏""",clean,español
241,"""I can't believe how ignorant some people are. Truly ignorant.""",toxic,ingles
242,"""cuando reanuda el stream?""",clean,español
243,"""q comentario tan pendejo""",toxic,español
244,"""Pretty clear points.""",clean,ingles
245,"""hey rey manda saludo porfa <3""",clean,español
246,"""snacks ready lets go""",clean,ingles
247,"""Feminazis are cancer to society""",hate,ingles
248,"""no Ls today haha""",clean,ingles
249,"""F pero para la proxima sale :(""",clean,español
250,"""Eres tan estúpido que das vergüenza ajena.""",toxic,español
251,"""Me cagan los judíos mugrosos""",hate,español
252,"""Me cagan los oaxacos mugrosos""",hate,español
253,"""JAJAJA chat pls 🤣""",clean,español
254,"""latinos bandas""",hate,español
255,"""Esta es la cosa más tonto que he visto. Deberías te largues.""",toxic,español
256,"""Massri needs an education.""",toxic,ingles
257,"""This explanation makes sense.""",clean,ingles
258,"""Esta es la cosa más basura que he visto. Deberías te quedes callado.""",toxic,español
259,"""puras estupideces""",toxic,español
260,"""mejor guarda tu opinion para alguine a quien le importe""",toxic,español
261,"""progres cultura""",hate,español
262,"""Delusional feminazis smell like garbage""",hate,ingles
263,"""JAJAJA increible""",clean,español
264,"""Kikes are dirty and deserve no rights""",hate,ingles
265,"""esta muy entretenido esto 😄""",clean,español
266,"""qué pendejada""",toxic,español
267,"""Cállate, tu voz es insoportable.""",toxic,español
268,"""Espero que te quedes callado, sin cerebro payaso.""",toxic,español
269,"""Vete al demonio, escoria.""",toxic,español
270,"""almost missed this haha""",clean,ingles
271,"""This explanation was simple.""",clean,ingles
272,"""Brainless cucks deserve no rights📜❌""",hate,ingles
273,"""neta q flojera leerte""",toxic,español
274,"""primera vez aqui :) saludo!""",clean,español
275,"""Look at these disgusting trannies""",hate,ingles
276,"""Niggers are monkeys""",hate,ingles
277,"""Mr. Smerconish, you Sir, are not a journalist. NO journalists say or claim to the interview object that he/she is searching for 15mins of fame just for being a part of the interview. And/or just because he/she did not speak in the direction you wanted them to.
- If anything, it is you trying to DEFAME a person. And that is illegal! And you should definitively serve time for that! 
You should go back to school because it is truly obvious that you do not handle the word of mouth with care NOR are you critical enough of the Authorities!
Why would you wait for tons of paper that shows what we all know...That he INDEED ran, stopped, hands in the air and got shot, multiple times. There should be no doubt from your side that this happened if the witnesses says so. There should be, however, an investigative journalist who goes out and ask the people.

Your opinion is NOT superior! GET OFF YOUR CHAIR AND GO OUT AND DO SOME REAL REPORTING!  SHAME ON YOU!!! And SHAME ON CNN FOR NOT HIRING PROFESSIONALS!!""",toxic,ingles
278,"""indepes lazo""",hate,español
279,"""ese buff ayudo 😄""",clean,español
280,"""holaaaa llego tarde sii""",clean,español
281,"""Pinches feminazis nadie los quiere la neta""",hate,español
282,"""a qe hora te vas?""",clean,español
283,"""im laughing nonstop""",clean,ingles
284,"""crack absoluto bro 🙌""",clean,español
285,"""Blacks are thugs""",hate,ingles
286,"""Straightforward explanation.""",clean,ingles
287,"""bien ahi compa sigue asi 😎""",clean,español
288,"""I wonder what the police expect will happen when they continually abuse and kill people  ? Do they honestly expect the public  to do nothing about it ? To just lay back and take it and let the cops just turn into one massive street gang who are allowed to kill without consequence? Even a rat when it's cornered will defend itself ..""",toxic,ingles
289,"""feels cozy here uwu""",clean,ingles
290,"""LETS GO u got this man""",clean,ingles
291,"""Qué broma más ignorante. Solo eres un fracasado.""",toxic,español
292,"""Piérdete, cerdo asqueroso.""",toxic,español
293,"""Muslims are incompatible with civilization""",hate,ingles
294,"""menas violadores""",hate,español
295,"""I like the simple approach.""",clean,ingles
296,"""Get out of here, you miserable failure.""",toxic,ingles
297,"""ese ace estuvo brutal 🔥""",clean,español
298,"""Eres una desgracia absoluta para la humanidad.""",toxic,español
299,"""Cierra la boca, payaso ridículo.""",toxic,español
300,"""anyone new here too?""",clean,ingles
301,"""new follower here o/""",clean,ingles
302,"""Vile feminazis hate men""",hate,ingles
303,"""ÉPICO ese momento xD""",clean,español
304,"""Todos los centroacas son unos muertos de hambre no valen verga""",hate,español
305,"""Lárgate, desecho social.""",toxic,español
306,"""sigue asi vas genial 😎""",clean,español
307,"""Me cagan los indios rastreros""",hate,español
308,"""vascos brutos""",hate,español
309,"""moros terroristas""",hate,español
310,"""vamosss ultima""",clean,español
311,"""wenas bro todo chill :)""",clean,español
312,"""Pinches puercos son delincuentes no valen verga""",hate,español
313,"""me quedo hasta el final 😄""",clean,español
314,"""comentario odioso""",toxic,español
315,"""homosexuales pecado""",hate,español
316,"""estás bien mal bro""",toxic,español
317,"""ese clutch fue INSANO 💪""",clean,español
318,"""awesome job from our law enforcement now send off to disrupt & tear down all the Islamic extremist radicals in America thanks....""",toxic,ingles
319,"""Easy to understand, nice.""",clean,ingles
320,"""okupas delincuentes""",hate,español
321,"""Todos los putos son unos mierderos en corto""",hate,español
322,"""holaaaaa chat activo 😄""",clean,español
323,"""no aportas nada""",toxic,español
324,"""todo mal contigo bro""",toxic,español
325,"""menas subvencionados""",hate,español
326,"""Stinking wetbacks are perverted pedophiles""",hate,ingles
327,"""NOOO pero se puede!!""",clean,español
328,"""puras pendejadas""",toxic,español
329,"""Eres un desperdicio de potencial humano.""",toxic,español
330,"""nmms eso no tiene sentido""",toxic,español
331,"""JAJAJA increible chat""",clean,español
332,"""Mugrosos viejas me cagan la madre""",hate,español
333,"""I’m glad I found this.""",clean,ingles
334,"""Pinches Argentinos regresen a su cerro hijos de la chingada👋🖕""",hate,español
335,"""Me cagan los feminazis hediondos""",hate,español
336,"""CNN mother fuckers....fuck you peace of shit!""",toxic,ingles
337,"""bro neta q mal comentario""",toxic,español
338,"""colombianos narcos""",hate,español
339,"""q comentario tan sin chiste""",toxic,español
340,"""Me cagan los putos malditos""",hate,español
341,"""Cállate, tu existencia es un error.""",toxic,español
342,"""xD casi me ahogo de risa 😂""",clean,español
343,"""menas peligrosos""",hate,español
344,"""Eres un cero a la izquierda.""",toxic,español
345,"""dale bro confio en ti 🙌""",clean,español
346,"""Dangerous ragheads belong in the desert""",hate,ingles
347,"""Esta es la cosa más tóxico que he visto. Deberías dejes de hablar.""",toxic,español
348,"""holaaa recién salgo del trabajo""",clean,español
349,"""Todos los Argentinos son unos mierderos al chile""",hate,español
350,"""thats a W fr""",clean,ingles
351,"""gays adopción""",hate,español
352,"""I can't believe how idiotic some people are. Truly idiotic.""",toxic,ingles
353,"""ez win jajaja""",clean,español
354,"""otra pendejada más y listo""",toxic,español
355,"""Lárgate ya, apestas a fracaso.""",toxic,español
356,"""vamos por la victoria """,clean,español
357,"""Muérete, el mundo sería mejor sin ti.""",toxic,español
358,"""q pro eres bro :D""",clean,español
359,"""A true dictatorship ! Let's wait and check which of the coutries will start sanctioning on U.S government? I guess none of countries, because USA is a corrupted all of countries in the world except Russia and China.""",toxic,ingles
360,"""Me cagan los nacos mierderos""",hate,español
361,"""Law enforcement is not trained to shoot to apprehend.  They are trained to shoot to kill.  And I thank Wilson for killing that punk bitch.""",toxic,ingles
362,"""You're nothing but a sad, pathetic excuse for a human.""",toxic,ingles
363,"""That was helpful info.""",clean,ingles
364,"""buenas noches viejo ✨""",clean,español
365,"""pog ese play 🤩""",clean,español
366,"""pog momento final ✨""",clean,español
367,"""Cool concept honestly.""",clean,ingles
368,"""homosexuales matrimonio""",hate,español
369,"""This helped me a lot 🙌""",clean,ingles
370,"""tu comentario apesta""",toxic,español
371,"""first sub ever omg""",clean,ingles
372,"""siiii vamos con todo 🎉""",clean,español
373,"""Pinches gringos me cagan la madre wey""",hate,español
374,"""This is actually pretty interesting.""",clean,ingles
375,"""dale sin temor a nada""",clean,español
376,"""Makes sense to me 🤔""",clean,ingles
377,"""Pinches cholos no deberían existir wey""",hate,español
378,"""Pinches fifis deberían fusilarlos están de la verga""",hate,español
379,"""crack sigue asi""",clean,español
380,"""sanchistas mentirosos""",hate,español
381,"""gracias x el stream bro 🙌""",clean,español
382,"""estás bien menso bro""",toxic,español
383,"""que divertido esta esto 👍""",clean,español
384,"""GG chat gracias ❤️""",clean,español
385,"""uffff nivelazo bro""",clean,español
386,"""What a trash joke. You're just a idiot.""",toxic,ingles
387,"""Todos los frijoleros son unos mugrosos hijos de la chingada""",hate,español
388,"""xD justo ahi""",clean,español
389,"""me quedo todo el stream :)""",clean,español
390,"""Death to all kikes""",hate,ingles
391,"""q mal escribes, duele""",toxic,español
392,"""Pinches hondureños son unos arrastrados wey🤢""",hate,español
393,"""Ghetto coons are stealing our oxygen""",hate,ingles
394,"""Brainless thots should die of AIDS""",hate,ingles
395,"""mejor borra tu vida""",toxic,español
396,"""Me cagan los nacos nacos""",hate,español
397,"""q juego es este chat?""",clean,español
398,"""me dio mucha risa eso XD""",clean,español
399,"""holaaa tarde plis""",clean,español
400,"""I don't care about Mike brown or any other bullshit. But it's clearly understood that this youtube guy is a racist and very dumb. His points do hold a little water but he's full of hate and lies100%""",toxic,ingles
401,"""qien anda desde el principio?""",clean,español
402,"""death ti the white devil""",toxic,ingles
403,"""Illegal wetbacks get out""",hate,ingles
404,"""Espero que te quedes callado, tóxico idiota.""",toxic,español
405,"""Eres un pedazo de mierda, nadie te soporta.""",toxic,español
406,"""Pinches feminazis váyanse a la verga no valen verga✊👩""",hate,español
407,"""GG grupo muchas gracias ❤️""",clean,español
408,"""Espero que te largues, inútil chiste. 🙄""",toxic,español
409,"""jajajaja buen final""",clean,español
410,"""otra estupidez que sale de tu boca""",toxic,español
411,"""Babosos lenchas dan un chingo de asco""",hate,español
412,"""VAMOS bro tu puedes""",clean,español
413,"""latinos baile""",hate,español
414,"""neta esta muy bueno 😎""",clean,español
415,"""ngl ur gameplay is SO GOOD :D""",clean,ingles
416,"""Death to all faggots""",hate,ingles
417,"""Me cagan los cholos hediondos""",hate,español
418,"""F la pase genial""",clean,español
419,"""nazis genocidas""",hate,español
420,"""F but still fun""",clean,ingles
421,"""me encanta tu estilo""",clean,español
422,"""eres todo un imbecil""",toxic,español
423,"""Pinches sidosos nos roban el aire hijos de la chingada""",hate,español
424,"""Filthy gypsies steal everything""",hate,ingles
425,"""kekw chat intenso 😂""",clean,español
426,"""lol me distraje xD""",clean,español
427,"""XD justo lo salvo""",clean,español
428,"""night shift gang here""",clean,ingles
429,"""me gusta mucho tu setup bro 😎""",clean,español
430,"""big W for chat 😄""",clean,ingles
431,"""I can't believe how clueless some people are. Truly clueless. 😒""",toxic,ingles
432,"""nice one dude""",clean,ingles
433,"""The city is full of really, really, really dumb people.  Can't try to reason with them.""",toxic,ingles
434,"""Todos los chilangos son unos mugrosos están de la verga""",hate,español
435,"""Pinches trans hay que dormirlos puñetas""",hate,español
436,"""catalanes butifarras""",hate,español
437,"""Todos los maricas son unos gatos wey""",hate,español
438,"""That was a very good explanation.""",clean,ingles
439,"""nmms puras incoherencias""",toxic,español
440,"""q mapa sigue?""",clean,español
441,"""hey compa como vas hoy? :)""",clean,español
442,"""Honestly, this is kinda cool.""",clean,ingles
443,"""no sirves""",toxic,español
444,"""socialistas paguitas""",hate,español
445,"""nmms quien t dijo q opinar era buena idea 😂""",toxic,español
446,"""i like this a lot ngl""",clean,ingles
447,"""hablas puras estupideces""",toxic,español
448,"""Police brutality affects everyone.  It's not just a black issue, and when they made it a ""black"" issue that's when people who aren't black tend to stop listening.  End racial profiling as if police don't fuck with everyone?  Police don't care WHAT color you are, if you aren't  a policeman they will fuck with you.  If you look on youtube you will notice the brutality doesn't discriminate.  

So stop it with this racial bullshit, because if you want cops to finally be held accountable for their powertripping actions, you need to realize that playing the whole ""because I'm black, and only black, and black"" card, makes people who aren't black feel less sympathetic because every race here has had issues with them.""",toxic,ingles
449,"""bien ahi compa 😎""",clean,español
450,"""Get lost, you despicable lowlife.""",toxic,ingles
451,"""Ah, beautiful.""",toxic,ingles
452,"""Yids should die of AIDS☠️""",hate,ingles
453,"""Cnn...so out of touch..close up idiots.. people are watching for the comedy of reporting.lol""",toxic,ingles
454,"""okupas ley""",hate,español
455,"""socialistas paro""",hate,español
456,"""jajaja qe loco estuvo eso""",clean,español
457,"""pobres vagos""",hate,español
458,"""jajajaja chat se paso XD""",clean,español
459,"""good vibes only here 😎""",clean,ingles
460,"""holaaaaa sii por fin 😍""",clean,español
461,"""Me cagan los fifis putos""",hate,español
462,"""meta looks fun rn""",clean,ingles
463,"""buenas noches chat """,clean,español
464,"""esta muy bueno el stream""",clean,español
465,"""All jews are liars""",hate,ingles
466,"""All niggers are subhuman animals""",hate,ingles
467,"""VAMOS bro tu puedes 💪""",clean,español
468,"""chat activo 👏""",clean,español
469,"""que bonito se ve todo """,clean,español
470,"""I hope you stay quiet, you clueless coward. 🖕""",toxic,ingles
471,"""se ve todo super limpio ✨""",clean,español
472,"""qué asco 🤮""",toxic,español
473,"""te encanta hacer el oso""",toxic,español
474,"""q buena vibra trae esto """,clean,español
475,"""Eres una vergüenza andante.""",toxic,español
476,"""Eres un chiste y todos lo saben.""",toxic,español
477,"""Shut your face, you annoying brat.""",toxic,ingles
478,"""FUCK MEDIA 
Bassem was right find something real to investigate. You're just exaggerating because you want more views and more MONEY.

FUCK YOU SELFISH FUCKS

These people are DISGUSTING. I don't know how they bare with their NASTY selves.""",toxic,ingles
479,"""Pinches cholos me cagan la madre pinche madre🤬""",hate,español
480,"""feministas feas""",hate,español
481,"""I hope you stop talking, you trash failure.""",toxic,ingles
482,"""HOLA HOLA chat!!! 🙌""",clean,español
483,"""pobres sucios""",hate,español
484,"""You're so useless, you can't even do one thing right.""",toxic,ingles
485,"""Why are you so useless? It's pathetic. 😒""",toxic,ingles
486,"""Shut your mouth, you arrogant prick.""",toxic,ingles
487,"""das vergüenza ajena""",toxic,español
488,"""What a annoying joke. You're just a coward. 💩""",toxic,ingles
489,"""hey chat pa spam xD""",clean,español
490,"""“Do White children deserve to have a future?
Tens of millions of non-Whites flooding into White countries every year will, in a few decades, mean that Whites will be a minority in every country they founded.
Black countries will remain majority Black, and Asian countries will remain majority Asian.
Only White countries will be affected by this. This is genocide under international law.
But anti-Whites don’t call it genocide; they call it diversity.
Diversity means chasing down every last White child.
Anti-racist is a codeword for anti-White.”""",toxic,ingles
491,"""HOLA amigo todo bien??""",clean,español
492,"""I like the background music 🎵""",clean,ingles
493,"""Bassem Masri is an uneducated idiot. Just listen the words coming out of his mouth, he sounds like a stupid little kid. Sorry, but please grow the fuck up and learn the laws instead of repeating ""FREEDOM OF SPEECH"", ""I'M A CITIZEN"", ""GO AHEAD BRO, I'LL LISTEN TO YOU"".

Somebody shut this guy up.""",toxic,ingles
494,"""Bullshit, the best places to live in America, are completely liberal, and the worst places to live in America, are overwhelmingly republican. And that is a fact jack.""",toxic,ingles
495,"""This is understandable.""",clean,ingles
496,"""VAMOS grupo unas palabras de apoyo 🎉""",clean,español
497,"""q onda chat!!! 😄""",clean,español
