id,Text,Label,language
189,"""XD momento unico""",clean,español
190,"""q pro esa estrategia bro 💪""",clean,español
191,"""All whites are devils""",hate,ingles
192,"""XD momento unico""",clean,español
193,"""puras estupideces""",toxic,español
194,"""JAJAJA increible""",clean,español
195,"""fascistas dictadores""",hate,español
196,"""fascistas dictadores""",hate,español
197,"""This is easy to understand.""",clean,ingles
198,"""otra idiotez tuya""",toxic,español
199,"""terroristas bombas""",hate,español
200,"""That was interesting to watch.""",clean,ingles
201,"""q buena explicacion 🙌""",clean,español
202,"""derechistas iglesia""",hate,español
203,"""Lazy spics stop mooching""",hate,ingles
204,"""I get it now 👍""",clean,ingles
205,"""feministas locas""",hate,español
206,"""This was worth my time.""",clean,ingles
207,"""bro das hueva, sin ofender 😒""",toxic,español
208,"""vascos brutos""",hate,español
209,"""a qe hora vuelves?""",clean,español
210,"""derechistas rancios""",hate,español
211,"""qien mas conectado?""",clean,español
212,"""This answered my question.""",clean,ingles
213,"""Dirty jews are destroying the world""",hate,ingles
214,"""no tienes cerebro""",toxic,español
215,"""Ah, beautiful.""",toxic,ingles
216,"""no sabes escribir""",toxic,español
217,"""no sabes ni lo q dices 😂""",toxic,español
218,"""""I don't want my sons death to be in vain."" ""LET'S BURN THIS BITCH DOWN!"" Stupid fucks destroying livelihoods. Peaceful protests my fucking ass.""",toxic,ingles
219,"""vamosss ultimo intento 🎯""",clean,español
220,"""I like the simple approach.""",clean,ingles
221,"""alguien sabe si hay raid?""",clean,español
222,"""jajajaja timing 🔥""",clean,español
223,"""estás bien mal""",toxic,español
224,"""feministas feas""",hate,español
225,"""qué pendejo comentario""",toxic,español
226,"""moros terroristas""",hate,español
227,"""This helped me a lot.""",clean,ingles
228,"""This guy is a moron.""",toxic,ingles
229,"""voxeros partido""",hate,español
230,"""dale bro ultimo push 💪""",clean,español
231,"""ni escribir sabes""",toxic,español
232,"""Great video. Although I wish he would've focused more on all the shit police are doing, because that's the only thing keeping the rioters and their supporters from being complete idiots.""",toxic,ingles
233,"""sigue asi maestro 👏""",clean,español
234,"""nooo casi bn 🤗""",clean,español
235,"""latinos machetes""",hate,español
236,"""death ti the white devil""",toxic,ingles
237,"""poggers total ✨""",clean,español
238,"""JAJAJA buen timing""",clean,español
239,"""qué comentario tan malo""",toxic,español
240,"""aprende a pensar""",toxic,español
241,"""All muslims are evil""",hate,ingles
242,"""One feral hoodlum put down, the rest of us no longer need to fear his thuggish behavior. Upset about that? Blame his parents- they failed to raise him right and provide proper supervision. Or, he was just defective from the start. Either way sounds like a case of quality control to me. Thank you Officer Wilson for doing your job.""",toxic,ingles
243,"""xD xD que paso ahi""",clean,español
244,"""puras estupideces dices""",toxic,español
245,"""This explains it well.""",clean,ingles
246,"""wey deja d hacer el ridiculo""",toxic,español
247,"""OK DIPSHITS: I don't care if he's 7 feet tall and 600 pounds. 
 1. Call for BACKUP 2. Use pepper spray 3. Use your baton 4. Use your taser 5. Wait for BACKUP 6. Use your GUN
 HOW DOES THE SAYING GO A MONKEY WITH BLINDFOLDS AND IT'S HANDS TIED BEHIND IT'S BACK?
 ANYWAYS: The preliminary autopsy showed that he was shot 4 times IN LESS LETHAL AREAS before he was EXECUTED WITH 2 GUNSHOT WOUNDS TO THE HEAD!!!!!!!!!""",toxic,ingles
248,"""me encanta este juego wey 😍""",clean,español
249,"""This explanation works for me.""",clean,ingles
250,"""This is actually helpful.""",clean,ingles
251,"""I can't stand these dirty kikes""",hate,ingles
252,"""dale sin miedo 💪""",clean,español
253,"""hablas puras babosadas""",toxic,español
254,"""sanchistas PSOE""",hate,español
255,"""uffff que nivel traes 💪""",clean,español
256,"""qué ridículo eres""",toxic,español
257,"""You know its crazy.... I actually came across your video about bitcoin while trying to learn more about it and knew you looked familiar.... I took the time to look at some of Mike Browns personal profiles myself specifically his soundcloud. While I do think he is guilty of representing himself in the wrong light and maybe of stealing he still didn't deserve to die. The fact that WHITE people like yourself continued to insinuate it is ridiculous and shows your clear lack of empathy and sympathy. It seems you all are more like the ""animals"" you think we are..... And its especially offensive looking back at these videos 3 years later when hip/hop rnb (OUR BLACK CULTURE) is the biggest thing and media and you still dont understand our perspectives. To say Trayvon Martin was making lean in on of your other videos shows how ignorant you truly are as well. Sprite or Fanta or a CARBONATED DRINK is used when making lean....Not tea....""",toxic,ingles
258,"""españoles vagos""",hate,español
259,"""shoot first ask questions later hahahahahaha""",toxic,ingles
260,"""estás bien loco, puras pendejadas dices""",toxic,español
261,"""q onda loco ya empezo?""",clean,español
262,"""Michael Brown, rob a store assaulted the store owner. Then fought with a police officer Darren Wilson in and through the police window went for the officer gun, then was shot and killed. Brown did not have a shirt saying I'm not armed. This is what happens when you do criminal activity, regardless of the color of your skin. A linch mob mentality should not get there way, or public pressure when all the facts support Browns activity of the day. Some wonder if Brown wanted death (suicide) by cop for his family could sue.""",toxic,ingles
263,"""neta q ridiculo comentario""",toxic,español
264,"""eres bien necio""",toxic,español
265,"""hey chat listos pa spamear""",clean,español
266,"""bien ahi chat apoyando 👏""",clean,español
267,"""dale dale confio 😄""",clean,español
268,"""das pena ajena""",toxic,español
269,"""wey tas bien mal de la cabeza""",toxic,español
270,"""bro ya nadie t cree""",toxic,español
271,"""wey tu logica se fue d sabatico""",toxic,español
272,"""esto cuenta como W? :P""",clean,español
273,"""hola wey como estas :)""",clean,español
274,"""This seems well thought out.""",clean,ingles
275,"""This is the typical mindset of white people ( not all white people but most). He deserved it . So I say to you, people like Sean Hannity are feuling the fires of prejudice and racism. Don't let these people influence you. They want a race war so they can start marshall law.""",toxic,ingles
276,"""you are clearly a racists shrill a canadian vegatable ,a plant that lives in a box of ivory snow and truly knows nothing about the Negro race. """,toxic,ingles
277,"""animo crack aun hay 🙌""",clean,español
278,"""todo mal, TODO""",toxic,español
279,"""moros cultura""",hate,español
280,"""Calm and informative.""",clean,ingles
281,"""homosexuales sidosos""",hate,español
282,"""no tienes idea de nada""",toxic,español
283,"""hola hola chat activo 😎""",clean,español
284,"""me encanta tu estilo bro 😍""",clean,español
285,"""Time to test the police guns fire fire.""",toxic,ingles
286,"""Makes sense to me 🤔""",clean,ingles
287,"""hablas puras estupideces""",toxic,español
288,"""q buena explicacion neta 🙌""",clean,español
289,"""Sick gays are unnatural""",hate,ingles
290,"""Helpful explanation overall.""",clean,ingles
291,"""ese ace estuvo brutal 🔥""",clean,español
292,"""vamos por la W bro 🏆""",clean,español
293,"""primera vez aqui :) saludo!""",clean,español
294,"""qien anda desde inicio?""",clean,español
295,"""All chinks should leave""",hate,ingles
296,"""feministas movimiento""",hate,español
297,"""cuando sale el boss final?""",clean,español
298,"""JAJAJA increible""",clean,español
299,"""cállate pls""",toxic,español
300,"""should have shot""",toxic,ingles
301,"""Masri is a total idiot ""I don't have to know the evidence, I can just come to my own conclusions instead""
 Here is a clue, dont attack a cop and try to take his gun and then rush him after he finally gets out of his car and you wont get shot duhhh.
 So what would Masri do, take Brown out for a icecream as he is beating him into the ground and not defend himself?
 BTW, Browns momma and gramma violently assaulted some people who were selling T-shirts in memory of Brown and put two people in the hospital, stole their money and trashed their shop and will probably be charged for it, so we all know what sort of mentality Brown was raised in and he was a thug wanna be, who caused his own death.""",toxic,ingles
302,"""musulmanes rezo""",hate,español
303,"""todo mal contigo bro""",toxic,español
304,"""Remember,the looting(stealing) by the blacks is purely and only to gain free goods.All in the name of Mike Brown.Yea right.It's an excuse to steal-pure and simple.A good ,concise introspective Steffan.Some folks live off grievance.This follows perfectly after the white guilt segment.Keep em rollin.""",toxic,ingles
305,"""GG bien jugado 🔥""",clean,español
306,"""qué comentario tan necio""",toxic,español
307,"""buenas bro bn 😊""",clean,español
308,"""chat activo se agradece 👏""",clean,español
309,"""holaaaa saludos a todos <3""",clean,español
310,"""Death to all kikes""",hate,ingles
311,"""españoles colonizadores""",hate,español
312,"""a qe hora te despides?""",clean,español
313,"""Islamic Terrorist insighting hatred and violence under the disguise of an african citizen its time that american citizens realise their true enemy is islam and not black or white people""",toxic,ingles
314,"""siiii victoria segura 🎉""",clean,español
315,"""no aportas nada""",toxic,español
316,"""pinche comentario inútil""",toxic,español
317,"""das vergüenza""",toxic,español
318,"""This feels very natural.""",clean,ingles
319,"""qué chingados dices?? no se entiende ni madres 🤦‍♂️""",toxic,español
320,"""Fucking savages! Protest sumthing real... Like how your government is robbing you and sendin your kids to an elegal WAR! You are the laughing stock of America congrats!""",toxic,ingles
321,"""rumanos gitanos""",hate,español
322,"""cuando sale el siguiente mapa?""",clean,español
323,"""XD lo salvo""",clean,español
324,"""I like how you broke it down.""",clean,ingles
325,"""estás bien mal bro""",toxic,español
326,"""You people are sick! This man is speaking the truth and y'all are just mad. Trying to justify why a young boy who did nothing was shot and killed smh. Y'all are the devil and a disease to this earth! I'll be glad when the sun burns all your asses into extinction and we can have our planet back! Half animal half devil cave beasts!!! """,toxic,ingles
327,"""qien mas esta viendolo? :o""",clean,español
328,"""aprende a escribir bien""",toxic,español
329,"""Straightforward explanation.""",clean,ingles
330,"""Feminazis are cancer to society""",hate,ingles
331,"""nmms tas bien menso 😂""",toxic,español
332,"""se siente buena vibra aqui ✨""",clean,español
333,"""wenas chaval bn?""",clean,español
334,"""Ragheads are bomb makers""",hate,ingles
335,"""borregos ignorantes""",hate,español
336,"""I like this explanation.""",clean,ingles
337,"""Calm and informative 👍""",clean,ingles
338,"""podemitas comunistas""",hate,español
339,"""wey no aportas nada bueno""",toxic,español
340,"""pog ese play 🤩""",clean,español
341,"""nooo pero estuvo bn 👍""",clean,español
342,"""moros velo""",hate,español
343,"""no aflojes rey 😎""",clean,español
344,"""nazis alemanes""",hate,español
345,"""nmms q perdida d tiempo""",toxic,español
346,"""“Do White children deserve to have a future?
 Tens of millions of non-Whites flooding into White countries every year will, in a few decades, mean that Whites will be a minority in every country they founded.
 Black countries will remain majority Black, and Asian countries will remain majority Asian.
 Only White countries will be affected by this. This is genocide under international law.
 But anti-Whites don’t call it genocide; they call it diversity.
 Diversity means chasing down every last White child.
 Anti-racist is a codeword for anti-White.”""",toxic,ingles
347,"""todo fluye bn bonito ✨""",clean,español
348,"""no sabes ni escribir""",toxic,español
349,"""bro piensale tantito antes d comentar""",toxic,español
350,"""das pena ajena""",toxic,español
351,"""socialistas paguitas""",hate,español
352,"""estás bien menso bro""",toxic,español
353,"""de verdad eres así de bruto o solo hoy 😡""",toxic,español
354,"""XD me duele la panza jajaja""",clean,español
355,"""rusos borrachos""",hate,español
356,"""This explanation works.""",clean,ingles
357,"""wey no se t entiende ni madres""",toxic,español
358,"""dale sin miedo loco 💪""",clean,español
359,"""pog final ✨""",clean,español
360,"""qien mas anda conectado?""",clean,español
361,"""I'm with this dude fuck the punk police """,toxic,ingles
362,"""uffff tremendo nivel 💪""",clean,español
363,"""W limpia sin errores 💯""",clean,español
364,"""Straight to the point 👍""",clean,ingles
365,"""I learned something new today.""",clean,ingles
366,"""I watched your Zimmerman case video and you are full of SHIT. I can smell the hate seeping out of you. You bringing up RAP music and what he listens to it, or his sound-cloud is nothing more to make his charcter look as foolish and dangerous as possible. To who ever wants to respond to it this, FUCK YOU AZ WELL>..You go through so much effort to destroy Mike Brown's character by bringing up his smoking habits which have nothing to do with why he got shot. Your tone and the perfectly chosen words you use really makes Brown look like he was ""Unstable"". Look at how much detail u went trhu to slay Brown's character.""",toxic,ingles
367,"""ese pick OP 🔥""",clean,español
368,"""indepes lazo""",hate,español
369,"""estás bien menso bro""",toxic,español
370,"""cuando vuelve el proximo stream?""",clean,español
371,"""And in this section ladies and gentlemen, you will see black people misbehaving. I wonder what would happen if everyone rioted when court decisions do not go their way.""",toxic,ingles
372,"""estás mal""",toxic,español
373,"""alguien sabe el score actual?""",clean,español
374,"""I like how this was presented.""",clean,ingles
375,"""negros raza""",hate,español
376,"""esta bn chido el gameplay 👍""",clean,español
377,"""puras mamadas""",toxic,español
378,"""QUÉ PRO juegas wey 💯""",clean,español
379,"""kekw no me esperaba eso""",clean,español
380,"""me dio mucha risa eso XD""",clean,español
381,"""hablas puras estupideces""",toxic,español
382,"""qué pendejada acabo de leer""",toxic,español
383,"""Death to all niggers""",hate,ingles
384,"""This feels very natural.""",clean,ingles
385,"""moros de mierda""",hate,español
386,"""Shoot to apprehend? Easier said than done.. When the evidence was presented, Michael brown was still attackin darren after he was shot twice.... People have this misconception, like in the movies, that one gun shot anywhere to the body, will disable an attacker. This is a false belief.. There are cases of people still attacking or running after they've been shot 2-3 times. For god sake, 50 cent was shot 9 times and he's alive... When you're being attacked by a 6 ft 3 200 somthing pound person, and you're on your back, it's hard to say I""m just goin to shoot to apprehend. Had michael brown copnducted himself like a gentleman, this wouldn't have happened. He was an aggresive piece of shit, and this muslim shit head isn't any better. He's filled with rage and doesn't have the answer for anything. Progression comes from tolerance not violence.""",toxic,ingles
387,"""venezolanos hambre""",hate,español
388,"""Simple language, I like it.""",clean,ingles
389,"""me quedo hasta final 🥳""",clean,español
390,"""clutch perfecto bro 💯""",clean,español
391,"""Good explanation overall.""",clean,ingles
392,"""vamosss ultimo intento 🎯""",clean,español
393,"""Immigrants bring disease""",hate,ingles
394,"""qué asco leer esto""",toxic,español
395,"""Whites are the oppresors and should die""",hate,ingles
396,"""THE UGLY TRUTH:
 
 If you talk like a THUG, act like a THUG, walk like a THUG, and live like a THUG... Then you will die like a THUG!
 
 ""Live by the sword die by the sword."" - ""Don't hate the player, hate the game!""
 
 This was not an innocent little child just walking down the street who got shot in the back. If we cannot blame the parents then we must look at the individual who in this case was an adult. 
 
 What kind of music did he listen to?
 What kind of videos did he view?
 Who were his role models?
 How did his environment affect him?
 Who were the enablers?
 Who did he associate with?
 But most importantly, when will he be accountable for his own actions? Unfortunately, on this day, he chose the wrong pathway to his fate. 
 
 You cannot rob a store and call it shoplifting. Heck, you might as well call it borrowing without permission. 
 
 This was not his first crime and there were probably many unrecorded (not caught) negative actions by Mike Brown (MB). You cannot assault another human being without consequences. Or should we say ""he was just playing, it was no big deal, or it was childish"". Get real folks. The riots, looting, attacks, and threats has nothing to do with MB. It has to do with a culture who feel they are entitled and will use any excuse or propaganda to find any excuse to commit crimes in the name of ""No Justice - No Peace!""
 
 Hands Up - Don't Shoot!"" - Please this culture needs to STOP, ""Pants on the ground, Pants on the Ground, Looking like a Fool, with your Pants on the Ground! Hat turned Sideways, Gold in your mouth, Looking like a Fool, with your Pants on the Ground!""
 
 Let me say, THIS IS NOT ABOUT RACE! THIS IS NOT ABOUT LACK OF JUSTICE! 
 
 JUSTICE, naturally in the street, will usually end in tragedy. This was the result of an immature with no respect THUG who believed he could use his size to intimidate. He probably did it in school and we know he did it in the street.
 
 --------- REAL PARENTS (or those around them) would have not called what MB did ""Childish"". That was not, nor is childish behaviors. His behaviors were felonious and criminal. And to be frank, would have probably cost him his life elsewhere at a different time. REAL PARENTS would have stated, ""This was my son. What he did was wrong in this store and to the clerk. If in fact, the evidence shows my son assaulted this officer, and posed a threat by going after the officer before the shots were fired... Then may our son rest in peace as his actions we do not condone but this consequence was just due to his own choices and actions. We unconditionally love our son. However, we also forgive the officer. We apologize to the store clerk and we hope as a family and people can move on only to learn, our actions and how we live dictate our consequences, be it positive or negative. We would also like to support alternate methods in the event this does happen again using non-lethal weapons such as rubber bullets, taser, mace, etc. ----------- And to those who truly support change - NO SILENCE - NO VIOLENCE.
 
 There is no sugar coat here. As a human, as a race, we need to be accountable for what we say and do. 
 
 Lastly, If the officer was racist and he did shoot MB without rhyme or reason, or if he in fact, just targeted MB & DJ because they were black, and decided to gun down MB (in the back and front) even though he surrendered peacefully with his hands raised, THEN I would side with MB and those who support the cause.
 
 But unfortunately, the evidence thus far does not support the above paragraph. 
 
 Question 1: Would this still be the reaction, if the officer were a female?
 
 Question 2: Would this still be the reaction, if the officer were Black/African American?
 
 Question 3: Would this still be the reaction, if Mike Brown was gunned down by a peer of his own race?
 
 Question 4: Would this still be the reaction, if Mike Brown were White?
 
 Question 5: Would this still be the end result (death), if Mike Brown was productive at home, work, or school other than running the streets?
 
 To the people:
 
 ""Nothing in the world is more dangerous than sincere ignorance and conscientious stupidity."" - Martin Luther King, Jr.
 I think it is safe to say, we are living in dangerous times because of this simple fact proving this Martin Luther King, Jr.'s quote. Unfortunately, it is coming from his own race and those supporting a lost cause.
 
 To the people who cry wolf...
 
 MJ
 
 Please Repost! """,toxic,ingles
397,"""I like this format.""",clean,ingles
398,"""lol lol lol buenisimo""",clean,español
399,"""clutch de campeonato bro 🏆""",clean,español
400,"""esa decision fue top 💯""",clean,español
401,"""me encanta tu estilo 😍""",clean,español
402,"""pog momento final 🔥""",clean,español
403,"""das vergüenza ajena""",toxic,español
404,"""holaaaa saludos a todos <3""",clean,español
405,"""ace limpio bro 😎""",clean,español
406,"""qué flojera""",toxic,español
407,"""nmms otra vez lo mismo""",toxic,español
408,"""Ayy CNN are lookin like pussies """,toxic,ingles
409,"""Nice and clear explanation.""",clean,ingles
410,"""izquierdistas radicales""",hate,español
411,"""catalanes frios""",hate,español
412,"""jajajaja este compa vive en otro mundo 🌎💀""",toxic,español
413,"""latinos reyes""",hate,español
414,"""uffff brutal esa jugada 🔥""",clean,español
415,"""esto hard o normal?""",clean,español
416,"""holaaaa saludos a todos <3""",clean,español
417,"""I appreciate the effort you put in.""",clean,ingles
